,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour28,0.008387929,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.015295635,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.019736303,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.189597157,0.189597157,0.189597157,0.013172639,0.021782049,0.030772464
Hour29,0.009290458,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.016941424,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.021859902,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.213412104,0.213412104,0.213412104,0.018859878,0.029914254,0.043932224
Hour30,0.016454383,0.005027053,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.030005052,0.014075748,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.038716196,0.019605506,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.305817045,0.305817045,0.305817045,0.031050856,0.057053629,0.080394024
Hour31,0.023089752,0.00370989,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.042104842,0.010387691,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.054328828,0.014468569,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.405719752,0.405719752,0.405719752,0.055507901,0.091411021,0.135014364
Hour32,0.039840772,0.005207821,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072650819,0.014581898,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093742992,0.020310501,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.741375392,0.741375392,0.741375392,0.131173369,0.203988181,0.312704392
Hour33,0.039331176,0.005843928,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071721556,0.016362998,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092543943,0.022791319,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.744732517,0.744732517,0.744732517,0.13129988,0.204840017,0.31398616
Hour34,0.038180506,0.006252477,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.069623276,0.017506936,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.089836485,0.02438466,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.742043043,0.742043043,0.742043043,0.13055776,0.203885675,0.312872044
Hour35,0.038556686,0.006456847,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.07030925,0.018079172,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.090721613,0.025181703,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.746293241,0.746293241,0.746293241,0.131138309,0.205143885,0.314554215
Hour36,0.037541445,0.005685711,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.068457928,0.015919991,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.088332811,0.022174273,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.732603553,0.732603553,0.732603553,0.129351932,0.201133383,0.309157982
Hour37,0.039528815,0.006430518,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072081957,0.018005451,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093008977,0.025079021,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.75173572,0.75173572,0.75173572,0.13208411,0.206842872,0.316738897
Hour38,0.039672235,0.006806175,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072343487,0.019057289,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093346434,0.026544081,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.756329605,0.756329605,0.756329605,0.132603186,0.208156239,0.318541414
Hour39,0.039527131,0.007653593,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.072078887,0.02143006,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.093005015,0.029849012,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.763943918,0.763943918,0.763943918,0.133305501,0.21026441,0.321504926
Hour40,0.040716151,0.008141209,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074247099,0.022795386,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095802708,0.031750717,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.775807994,0.775807994,0.775807994,0.134982137,0.213797949,0.326204323
Hour41,0.037689558,0.006809552,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.068728017,0.019066746,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.088681313,0.026557253,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.670632527,0.670632527,0.670632527,0.111485047,0.178604568,0.269744819
Hour42,0.032255908,0.00508413,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.058819597,0.014235565,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.075896254,0.019828108,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.547360259,0.547360259,0.547360259,0.085187136,0.137919307,0.20608597
Hour43,0.031074753,0.004532263,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.056665725,0.012690337,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.073117065,0.017675827,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.534887296,0.534887296,0.534887296,0.083454113,0.134220208,0.201154501
Hour44,0.027712518,0.003857921,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.050534592,0.010802178,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.065205925,0.01504589,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.434310621,0.434310621,0.434310621,0.060278698,0.100255258,0.146468782
