,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT,,,,,,,,,,,
Hour24,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199869327,0.199869327,0.199869327,0.012852237,0.020856441,0.029028045,,17.7626781,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour25,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197852775,0.197852775,0.197852775,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour26,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197846452,0.197846452,0.197846452,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour27,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197840131,0.197840131,0.197840131,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour28,0.008046192,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.014672468,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.197833809,0.197833809,0.197833809,0.012510498,0.02023327,0.028223953,,17.0389953,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour29,0.008387931,0,0,0,0.000512647,0.000391606,0,0,0,0.003560052,0.01529564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.199837718,0.199837718,0.199837718,0.012852237,0.020856441,0.029028045,,17.7626781,0,0,0,1.9224279,1.6340643,1.6020234,0,0,3.2040468
Hour30,0.009768234,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.017812661,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.222903038,0.222903038,0.222903038,0.018696844,0.028934264,0.041567551,,20.6856711,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour31,0.011002497,0,0,0,0.001025295,0.000783211,0,0,0,0.007120104,0.020063378,0,0,0,0.002221472,0.001780026,0,0,0,0.007120104,0.025888229,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.230157091,0.230157091,0.230157091,0.019931108,0.03118498,0.044471701,,23.2994061,0,0,0,3.8448558,3.2681277,3.2040468,0,0,6.4080936
Hour32,0.01522501,0,0,0,0.003075885,0.002349634,0,0,0,0.021360312,0.027763254,0,0,0,0.006664417,0.005340078,0,0,0,0.021360312,0.035823554,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.314797955,0.314797955,0.314797955,0.042010842,0.061128062,0.091573968,,32.2411986,0,0,0,11.5345683,9.8043831,9.6121404,0,0,19.2242808
Hour33,0.033128306,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.060410441,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.077948956,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.599531754,0.599531754,0.599531754,0.113485799,0.160504861,0.245200196,,70.1540604,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour34,0.03360926,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.061287474,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.079080611,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.602354571,0.602354571,0.602354571,0.113966752,0.161381894,0.246331851,,71.1725499,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour35,0.035620906,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.064955769,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.083813896,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.614181461,0.614181461,0.614181461,0.115978398,0.16505019,0.251065136,,75.4325064,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour36,0.037217801,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.067867756,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.087571298,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.623568643,0.623568643,0.623568643,0.117575294,0.167962176,0.254822538,,78.8141682,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour37,0.03601345,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.065671585,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.084737529,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.616477899,0.616477899,0.616477899,0.116370942,0.165766005,0.251988769,,76.2637761,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour38,0.037465725,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068319852,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.088154648,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.625014375,0.625014375,0.625014375,0.117823218,0.168414273,0.255405888,,79.3391832,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
Hour39,0.037493062,0,0,0,0.009227655,0.007048903,0,0,0,0.064080935,0.068369701,0,0,0,0.019993252,0.016020234,0,0,0,0.064080935,0.08821897,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.625168858,0.625168858,0.625168858,0.117850555,0.168464122,0.25547021,,79.397073,0,0,0,34.6037049,29.4131493,28.8364212,0,0,57.6728415
