,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour28,0.009566482,0,0,0.000320405,0.000512647,0.000391606,0,0,0,0.003560052,0.017444761,0,0,0.000925614,0.001110736,0.000890013,0,0,0,0.003560052,0.022509369,0,0,0.001744425,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.182571181,0.182571181,0.182571181,0.014351192,0.023931176,0.03354553
Hour29,0.009768228,0,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.017812651,0,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.022984066,0,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.202263872,0.202263872,0.202263872,0.019337648,0.030785481,0.045056389
Hour30,0.022862089,0.004795421,0,0.000640809,0.001025295,0.000783211,0,0,0,0.007120104,0.041689692,0.01342718,0,0.001851227,0.002221472,0.001780026,0,0,0,0.007120104,0.05379315,0.018702143,0,0.003488851,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.327234474,0.327234474,0.327234474,0.03722693,0.068089701,0.094567616
Hour31,0.025687084,0.003680146,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.046841152,0.010304409,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.060440197,0.01435257,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.406742098,0.406742098,0.406742098,0.058075489,0.09606405,0.141009734
Hour32,0.041912229,0.004702422,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.076428183,0.013166781,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.09861701,0.018339444,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.734547803,0.734547803,0.734547803,0.132739428,0.206350427,0.315607353
Hour33,0.040737178,0.005929584,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.074285443,0.016602835,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.095852184,0.023125377,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.739901039,0.739901039,0.739901039,0.132791539,0.207643741,0.317628459
Hour34,0.039148677,0.006832624,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071388764,0.019131347,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092114534,0.026647233,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.739580992,0.739580992,0.739580992,0.132106078,0.207275574,0.317412666
Hour35,0.039170696,0.007518651,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071428916,0.021052222,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.092166343,0.029322738,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.746564461,0.746564461,0.746564461,0.132814123,0.209236601,0.320139979
Hour36,0.037813793,0.006838195,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.068954564,0.019146945,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.088973632,0.026668959,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.7317718,0.7317718,0.7317718,0.130776765,0.204856973,0.314293489
Hour37,0.039338289,0.008612463,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.071734527,0.024114896,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.09256068,0.033588604,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.758475781,0.758475781,0.758475781,0.134075529,0.212604886,0.324800183
