,cc1,cc2,cc3,cc4,cc5,cc6,cc7,cc8,cc9,cc10,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,ic1,ic2,ic3,ic4,ic5,ic6,ic7,ic8,ic9,ic10,CBT,PBT,IBT,CCT,PCT,ICT
Hour36,0.021478315,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039166339,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050537212,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553643613,0.553643613,0.553643613,0.107603092,0.155921803,0.249188111
Hour37,0.020363721,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.037133844,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.047914637,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.547080853,0.547080853,0.547080853,0.106488497,0.153889307,0.246565536
Hour38,0.021489983,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039187617,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050564667,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553699605,0.553699605,0.553699605,0.10761476,0.15594308,0.249215565
Hour39,0.021500565,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039206913,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050589565,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553755529,0.553755529,0.553755529,0.107625342,0.155962377,0.249240464
Hour40,0.021484391,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.039177419,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.050551508,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.553654065,0.553654065,0.553654065,0.107609168,0.155932883,0.249202407
Hour41,0.023144869,0,0,0.005767284,0.009227655,0.007048903,0,0,0,0.064080935,0.04220535,0,0,0.016661043,0.019993252,0.016020234,0,0,0,0.064080935,0.054458516,0,0,0.031399658,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.563415264,0.563415264,0.563415264,0.109269646,0.158960814,0.253109415
Hour42,0.021194158,0,0,0.004485665,0.007177065,0.00548248,0,0,0,0.049840727,0.03864817,0,0,0.012958589,0.015550307,0.012460182,0,0,0,0.049840727,0.049868607,0,0,0.024421956,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.477885086,0.477885086,0.477885086,0.088180095,0.129457975,0.20437486
Hour43,0.016735388,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.030517472,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.039377383,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.377601623,0.377601623,0.377601623,0.064582485,0.095381617,0.149738992
Hour44,0.016188827,0,0,0.003204047,0.005126475,0.003916057,0,0,0,0.035600519,0.029520802,0,0,0.009256135,0.011107362,0.00890013,0,0,0,0.035600519,0.038091358,0,0,0.017444254,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.374380238,0.374380238,0.374380238,0.064035925,0.094384948,0.148452967
Hour45,0.012845041,0,0,0.001922428,0.003075885,0.002349634,0,0,0,0.021360312,0.023423309,0,0,0.005553681,0.006664417,0.005340078,0,0,0,0.021360312,0.030223625,0,0,0.010466553,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.280655508,0.280655508,0.280655508,0.0415533,0.062341798,0.096440592
