Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,Total Uncontrollable load factor,Total Load Realtime factors,Forecasted total factors
7,10,0.014357258,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.176096068,0.196014127,0.17128858
7,11,0.028150709,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.206791298,0.240502809,0.207647781
7,12,0.024039819,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.197634929,0.227235549,0.258084462
7,13,0.029915228,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.21070613,0.246182159,0.216558702
7,14,0.022168791,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.193457741,0.221187334,0.217788934
7,15,0.013256564,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.173614527,0.192431892,0.181571174
7,16,0.026330574,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.202708421,0.234599797,0.255663099
7,17,0.015561693,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178732653,0.199855147,0.228461199
7,18,0.016493423,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.180800182,0.202854406,0.180236156
7,19,0.016493423,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.180793861,0.202848085,0.19620549
7,20,0.015247149,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.178013573,0.198821524,0.201063328
7,21,0.014000738,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.175232983,0.194794523,0.19343102
7,22,0.012754396,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.172452543,0.19076774,0.206563267
7,23,0.012131224,0,0,0,0.001110736,0.000890013,0,0,0,0.003560052,0.171059162,0.188751188,0.188721372
