Day,Hour,CT1,CT2,CT3,CT4,CT5,CT6,CT7,CT8,CT9,CT10,UT,Total Load Realtime factors,Forecasted total factors,,
4,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169306407,0.19753036,0.181580457,,152.3757663
4,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170506224,0.199534269,0.215875595,,153.4556016
4,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.18103204,0.22259959,0.251082585,,162.928836
4,6,0.025880209,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.185369912,0.229833592,0.261133908,,166.8329208
4,7,0.032732096,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.218283353,0.306765863,0.29854918,,196.4550177
4,8,0.068798471,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.340302383,0.576352095,0.655522581,,306.2721447
4,9,0.072544878,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.34591567,0.585711789,0.570962008,,311.324103
4,10,0.074419946,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.348721952,0.590393139,0.519184688,,313.8497568
4,11,0.076755879,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.352219528,0.596226648,0.604021297,,316.9975752
4,12,0.079947872,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.357001196,0.604200309,0.599999685,,321.3010764
4,13,0.087190339,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.367858574,0.622300154,0.641784268,,331.0727166
4,14,0.087897327,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368912734,0.624061302,0.648004563,,332.0214606
4,15,0.087933834,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368961172,0.624146247,0.666567725,,332.0650548
4,16,0.090675685,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.373067628,0.630994554,0.623418124,,335.7608652
4,17,0.082119934,0,0,0,0.029904436,0.025418771,0.024920364,0,0,0.049840727,0.337585749,0.549789981,0.618545149,,303.8271741
4,18,0.064536337,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.288562101,0.446015793,0.403980273,,259.7058909
4,19,0.05229019,0,0,0,0.021360311,0.018156265,0.01780026,0,0,0.035600519,0.270186557,0.415394102,0.421858415,,243.1679013
4,20,0.040351393,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.229630112,0.325731919,0.295930382,,206.6671008
4,21,0.038412337,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.226715207,0.320877958,0.3566518,,204.0436863
4,22,0.022983991,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180924436,0.222491898,0.239269275,,162.8319924
4,23,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170386108,0.199414153,0.208821679,,153.3474972
5,0,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169173648,0.197397601,0.204242734,,152.2562832
5,1,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169167327,0.19739128,0.168281398,,152.2505943
5,2,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169161005,0.197384958,0.2047946,,152.2449045
5,3,0.018932217,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.169154684,0.197378637,0.180009038,,152.2392156
5,4,0.019736309,0,0,0,0.002136031,0.001815627,0.001780026,0,0,0.003560052,0.170354499,0.199382544,0.202185375,,153.3190491
5,5,0.022984079,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.180880314,0.222447864,0.18962032,,162.7922826
5,6,0.02529136,0,0,0,0.004272062,0.003631253,0.003560052,0,0,0.007120104,0.184334914,0.228209745,0.223040285,,165.9014226
5,7,0.033415275,0,0,0,0.012816187,0.010893759,0.010680156,0,0,0.021360312,0.219156394,0.308322083,0.338571223,,197.2407546
5,8,0.07059781,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.342849667,0.580698718,0.583756459,,308.5647003
5,9,0.079700868,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.356497932,0.603450041,0.665664852,,320.8481388
5,10,0.085190561,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.364726149,0.617167951,0.589293802,,328.2535341
5,11,0.087167369,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.367685039,0.622103649,0.542049017,,330.9165351
5,12,0.084763474,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.364072874,0.616087589,0.7031713,,327.6655866
5,13,0.088575764,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.369784987,0.625611992,0.585660117,,332.8064883
5,14,0.088114554,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.36908685,0.624452645,0.635682037,,332.178165
5,15,0.087499322,0,0,0,0.038448561,0.032681277,0.032040468,0,0,0.064080935,0.368157681,0.622908244,0.705301751,,331.3419129
