Reference Point Name,Volttron Point Name,Units,Units Details,Modbus Register,Writable,Point Address,Default Values, Notes
Priority_15,Priority_15,W,0.00-2000.00,>f,TRUE,274,,Reading 0.00-2000.0 W
Priority_16,Priority_16,W,0.00-2000.00,>f,TRUE,276,,Reading 0.00-2000.0 W
Priority_17,Priority_17,W,0.00-2000.00,>f,TRUE,278,,Reading 0.00-2000.0 W
Priority_18,Priority_18,W,0.00-2000.00,>f,TRUE,280,,Reading 0.00-2000.0 W
Priority_19,Priority_19,W,0.00-2000.00,>f,TRUE,282,,Reading 0.00-2000.0 W
Priority_20,Priority_20,W,0.00-2000.00,>f,TRUE,284,,Reading 0.00-2000.0 W
Priority_21,Priority_21,W,0.00-2000.00,>f,TRUE,286,,Reading 0.00-2000.0 W
Priority_22,Priority_22,W,0.00-2000.00,>f,TRUE,288,,Reading 0.00-2000.0 W
Priority_23,Priority_23,W,0.00-2000.00,>f,TRUE,290,,Reading 0.00-2000.0 W
Priority_24,Priority_24,W,0.00-2000.00,>f,TRUE,292,,Reading 0.00-2000.0 W
Interruptible_1,Interruptible_1,W,0.00-2000.00,>f,TRUE,294,,Reading 0.00-2000.0 W
Interruptible_2,Interruptible_2,W,0.00-2000.00,>f,TRUE,296,,Reading 0.00-2000.0 W
Interruptible_3,Interruptible_3,W,0.00-2000.00,>f,TRUE,298,,Reading 0.00-2000.0 W
Interruptible_4,Interruptible_4,W,0.00-2000.00,>f,TRUE,300,,Reading 0.00-2000.0 W
Interruptible_5,Interruptible_5,W,0.00-2000.00,>f,TRUE,302,,Reading 0.00-2000.0 W
Interruptible_6,Interruptible_6,W,0.00-2000.00,>f,TRUE,304,,Reading 0.00-2000.0 W
Interruptible_7,Interruptible_7,W,0.00-2000.00,>f,TRUE,306,,Reading 0.00-2000.0 W
Interruptible_8,Interruptible_8,W,0.00-2000.00,>f,TRUE,308,,Reading 0.00-2000.0 W
Interruptible_9,Interruptible_9,W,0.00-2000.00,>f,TRUE,310,,Reading 0.00-2000.0 W
Interruptible_10,Interruptible_10,W,0.00-2000.00,>f,TRUE,312,,Reading 0.00-2000.0 W
Interruptible_11,Interruptible_11,W,0.00-2000.00,>f,TRUE,314,,Reading 0.00-2000.0 W
Interruptible_12,Interruptible_12,W,0.00-2000.00,>f,TRUE,316,,Reading 0.00-2000.0 W
Interruptible_13,Interruptible_13,W,0.00-2000.00,>f,TRUE,318,,Reading 0.00-2000.0 W
Interruptible_14,Interruptible_14,W,0.00-2000.00,>f,TRUE,320,,Reading 0.00-2000.0 W
Interruptible_15,Interruptible_15,W,0.00-2000.00,>f,TRUE,322,,Reading 0.00-2000.0 W
Interruptible_16,Interruptible_16,W,0.00-2000.00,>f,TRUE,324,,Reading 0.00-2000.0 W
Interruptible_17,Interruptible_17,W,0.00-2000.00,>f,TRUE,326,,Reading 0.00-2000.0 W
Interruptible_18,Interruptible_18,W,0.00-2000.00,>f,TRUE,328,,Reading 0.00-2000.0 W
Interruptible_19,Interruptible_19,W,0.00-2000.00,>f,TRUE,330,,Reading 0.00-2000.0 W
Interruptible_20,Interruptible_20,W,0.00-2000.00,>f,TRUE,332,,Reading 0.00-2000.0 W
Interruptible_21,Interruptible_21,W,0.00-2000.00,>f,TRUE,334,,Reading 0.00-2000.0 W
Interruptible_22,Interruptible_22,W,0.00-2000.00,>f,TRUE,336,,Reading 0.00-2000.0 W
Interruptible_23,Interruptible_23,W,0.00-2000.00,>f,TRUE,338,,Reading 0.00-2000.0 W
Interruptible_24,Interruptible_24,W,0.00-2000.00,>f,TRUE,340,,Reading 0.00-2000.0 W
